id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
"frida-803","Marmalade, apricot","andre","Marmalade, apricot fra Frida DTU database",220.8,0.4,49,0.2,1.3,"{'B3':0.25}","{'sodium':18}","frida_dtu","803",true
"frida-804","Chocolate, milk, with nuts","mejeriprodukter","Chocolate, milk, with nuts fra Frida DTU database",571.9,8.8,42.9,37.5,1.7,"{'A':107.5,'D':0,'E':0.25,'B1':0.14,'B2':0.3,'B3':0.5,'Folate':4,'C':0}","{'sodium':127,'potassium':442,'calcium':310,'magnesium':55,'iron':0.9,'zinc':1.55,'selenium':4.5,'phosphor':240}","frida_dtu","804",true
"frida-805","Beef, rumpsteak, cap off, raw","kød","Beef, rumpsteak, cap off, raw fra Frida DTU database",123.17,21.31,,4.22,,"{'A':0,'D':0.06,'E':0.42,'B1':0.038,'B2':0.292,'B3':5,'Folate':4,'C':0}","{'sodium':43,'potassium':360,'calcium':3,'magnesium':24,'iron':2.45,'zinc':3.47,'selenium':11.68,'phosphor':197}","frida_dtu","805",true
"frida-806","Pine nuts, dried","nødder","Pine nuts, dried fra Frida DTU database",677.9,13.99,9.82,61.9,0.7,"{'A':3,'D':0,'E':11.85,'B1':0.485,'B2':0.259,'B3':3.33,'Folate':63.4,'C':0.8}","{'sodium':1,'potassium':603,'calcium':10,'magnesium':205,'iron':4.85,'zinc':5.75,'selenium':1,'phosphor':490}","frida_dtu","806",true
"frida-807","Rabbit, flesh only, raw","andre","Rabbit, flesh only, raw fra Frida DTU database",117.6,20.4,,4,,"{'A':10,'D':0,'E':0.4,'B1':0.115,'B2':0.14,'B3':10,'Folate':4,'C':3}","{'sodium':58,'potassium':383,'calcium':13,'magnesium':28,'iron':0.8,'zinc':1.7,'selenium':10,'phosphor':210}","frida_dtu","807",true
"frida-808","Pepper, hot chili, raw","grøntsager","Pepper, hot chili, raw fra Frida DTU database",44.2,2,5.3,0.2,1.8,"{'A':731.67,'D':0,'E':3,'B1':0.09,'B2':0.09,'B3':0.9,'Folate':23,'C':166}","{'sodium':7,'potassium':340,'calcium':14,'magnesium':25,'iron':1.2,'zinc':0.3,'selenium':0.5,'phosphor':68}","frida_dtu","808",true
"frida-812","Seal meat, loin, raw","kød","Seal meat, loin, raw fra Frida DTU database",113.8,22.6,,2.6,,"{'A':120,'D':3.5,'E':3.5,'B1':0.2,'B2':0.88,'B3':6,'C':0}","{'sodium':183,'potassium':285,'calcium':16,'magnesium':30,'iron':12,'zinc':3,'phosphor':213}","frida_dtu","812",true
"frida-813","Baguette, with rye, industrially produced","andre","Baguette, with rye, industrially produced fra Frida DTU database",258.74,8.12,47.9,2.64,3.99,"{'A':0,'D':0,'E':0.5,'B1':0.192,'B2':0.067,'B3':1.57,'Folate':39.27,'C':0}","{'sodium':460,'potassium':161,'calcium':35,'magnesium':28,'iron':1.16,'zinc':0.82,'selenium':2.06,'phosphor':112}","frida_dtu","813",true
"frida-815","Cashew nuts, dry roasted","nødder","Cashew nuts, dry roasted fra Frida DTU database",603.15,15.31,29.4,46.35,3,"{'A':0,'D':0,'E':0.84,'B1':0.2,'B2':0.2,'B3':1.4,'Folate':69,'C':0}","{'sodium':16,'potassium':565,'calcium':45,'magnesium':260,'iron':6,'zinc':5.6,'selenium':14.63,'phosphor':490}","frida_dtu","815",true
"frida-816","Rolls, italien type, industrially produced","andre","Rolls, italien type, industrially produced fra Frida DTU database",255.62,8.87,48.45,1.87,3.05,"{'A':0,'D':0,'E':0.5,'B1':0.167,'B2':0.049,'B3':1.26,'Folate':27,'C':0}","{'sodium':505,'potassium':133,'calcium':28,'magnesium':22,'iron':1,'zinc':0.74,'selenium':5.92,'phosphor':97}","frida_dtu","816",true
"frida-818","Beef, meat, lean (<5 % fat), raw","kød","Beef, meat, lean (<5 % fat), raw fra Frida DTU database",124.7,21.5,,4.3,,"{'A':0,'D':0.4,'E':0.23,'B1':0.055,'B2':0.193,'B3':6.2,'Folate':4,'C':0}","{'sodium':50,'potassium':360,'calcium':5,'magnesium':22,'iron':2.1,'zinc':3.6,'selenium':6.5,'phosphor':170}","frida_dtu","818",true
"frida-819","Beef, thick flank (top rump), cap off, raw","kød","Beef, thick flank (top rump), cap off, raw fra Frida DTU database",147.32,20.82,,7.12,,"{'A':0,'D':0.03,'E':0.24,'B1':0.037,'B2':0.192,'B3':4.54,'Folate':4,'C':0}","{'sodium':44,'potassium':356,'calcium':4,'magnesium':23,'iron':2,'zinc':4,'selenium':12.73,'phosphor':190}","frida_dtu","819",true
"frida-821","Caviar, made from capelin roe","andre","Caviar, made from capelin roe fra Frida DTU database",185.2,9.1,5.7,14,,"{'A':0,'D':0,'C':0}","{'sodium':2200}","frida_dtu","821",true
